ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,1,Acinetobacter calcoaceticus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,L-aspartate arylamidase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133295,,"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549, CIP 111639",1,1,Acinetobacter celticus,+,catalase
164592,WCHAc060005,"JCM 33509, CCTCC AB 2019139, GDMCC 1.1622",1,1,Acinetobacter chengduensis,+,catalase
140537,,"CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593, NIPH 2036",1,1,Acinetobacter colistiniresistens,+,catalase
,,,,,,+,gelatinase
139534,,"CIP 110480, NIPH 3623, ANC 3623, CCUG 67960, CCM 8635",1,1,Acinetobacter courvalinii,+,catalase
140606,WCHA30,"KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594",1,1,Acinetobacter defluvii,+,catalase
133175,JVAP01,"CECT 9134, LMG 29605",1,1,Acinetobacter lactucae,+,catalase
139490,,"CIP 110500, ANC 4105, CCUG 67961, CCM 8636",1,1,Acinetobacter dispersus,+,catalase
140912,114,"CCUG 65204, DSM 27228",1,1,Acinetobacter equi,+,catalase
130452,UG 60467,"CCUG 68482, DSM 28097, ANC 4275, LMG 27960",1,1,Acinetobacter gandensis,+,catalase
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,1,Acinetobacter gerneri,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,1,Acinetobacter guillouiae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8142,1271,"DSM 22705, CCM 7267, CCUG 51248, NIPH 2150, RUH 422, CIP 110306",1,1,Acinetobacter gyllenbergii,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,1,Acinetobacter haemolyticus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
130451,CGMCC1.12528,"DSM 100418, CGMCC 1.12528, HITLi 7, KCTC 32411, CCUG 69700, CIP 110764",1,1,Acinetobacter harbinensis,+,catalase
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,1,Acinetobacter indicus,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,1,Acinetobacter johnsonii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-mannosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,L-aspartate arylamidase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,1,Acinetobacter junii,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
24224,11-0202,"DSM 29071, JCM 18512, KCTC 32033, CCUG 69703, CIP 110699",1,1,Acinetobacter kookii,+,catalase
,,,,,,+,cytochrome-c oxidase
140631,,"CCUG 68785, NRRL B-41902",1,1,Acinetobacter lactucae,+,catalase
133403,BRTC-1,"ACCC 19936, JCM 31367",1,1,Acinetobacter larvae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,lipase (C 14)
8058,,"DSM 2403, ATCC 15309, CIP 644.10, JCM 6840, NCTC 5866, ATCC 17986, CCM 5581, CCUG 12805, CCUG 33984, CECT 453, CIP 64.10, LMG 1029, LMG 1240, NBRC 109760, NCIMB 12456, CIP 110687, KCTC 12407, NCIB 12456",1,1,Acinetobacter lwoffii,+,catalase
,,,,,,+,cytochrome-c oxidase
139492,,"CIP 110444, NIPH 236, CCUG 67964, CCM 8639",1,1,Acinetobacter modestus,+,catalase
130450,,"CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958, SAP 763.2",1,1,Acinetobacter nectaris,+,catalase
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,1,Acinetobacter parvus,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,1,Acinetobacter piscicola,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine aminopeptidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,1,Acinetobacter pittii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
,,,,,,+,valine arylamidase
133162,,"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530, CIP 111641",1,1,Acinetobacter pragensis,+,catalase
139427,,"CIP 110482, NIPH 809, CCUG 14818, CCUG 67965, CCM 8640",1,1,Acinetobacter proteolyticus,+,catalase
132918,BQ4-1,"DSM 105039, CFCC 10780, JCM 18011, CCUG 69709, CIP 110585",1,1,Acinetobacter puyangensis,+,catalase
157139,,CCUG 69710,1,1,Acinetobacter qingfengensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,1,Acinetobacter radioresistens,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
8147,G30,"DSM 24031, CCUG 57889, CECT 7818, LMG 26107, CIP 110305",1,1,Acinetobacter rudis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,valine arylamidase
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,1,Acinetobacter schindleri,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
23129,AK001,"DSM 19415, CIP 110587, CCUG 56015, CIP 110473, ANC 3649",1,1,Acinetobacter septicus,+,urease
8143,"B1, CR11, IBFC2009","DSM 22956, JCM 15062, KCTC 22184, CCUG 59023, KCTC 22814, CIP 110264, CCTCC AB 209162",1,1,Acinetobacter soli,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,urease
,,,,,,+,valine arylamidase
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,1,Acinetobacter tandoii,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,1,Acinetobacter tjernbergiae,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,1,Acinetobacter towneri,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,1,Acinetobacter ursingii,+,acid phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
,,,,,,+,valine arylamidase
132198,strain Tjernberg & Ursing 151a,"DSM 102977, CCM 8555, CCUG 26390, CIP 110486, NIPH 2171",1,1,Acinetobacter variabilis,+,L-aspartate arylamidase
,,,,,,+,lipase
8144,"RAG-1, Vaneechoutte ACI 403","KCTC 2702, BCRC 14357, DSM 23050, ATCC 31012, CCUG 45561, LMG 19082, LUH 3904, NIPH 1925, CIP 110063",1,1,Acinetobacter venetianus,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
139493,,"CIP 110483, NIPH 2168, RUH 65, CCUG 67967, CCM 8642",1,1,Acinetobacter vivianii,+,catalase
159758,WCHA60,"CCTCC AB 2016204, GDMCC 1.1100, KCTC 52505",1,1,Acinetobacter wuhouensis,+,catalase
16504,E 90,"DSM 43316, ATCC 29331, IFO 13972, NBRC 13972, NCIB 11120, JCM 3181, BCRC 12360, BCRC 16357, IMSNU 20325, KCTC 9431, NCIMB 11120",1,1,Acrocarpospora corrugata,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
16505,R-55,"DSM 44705, IFO 16266, JCM 10982, NBRC 16266, BCRC 16396",1,1,Acrocarpospora macrocephala,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,valine arylamidase
23319,PS33-18,"DSM 45867, BCC 46906, NBRC 108782",1,1,Acrocarpospora phusangensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
16506,R-31,"DSM 44706, IFO 16267, JCM 10983, NBRC 16267, BCRC 16801",1,1,Acrocarpospora pleiomorpha,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
134305,JC2129,"KCTC 12704, JCM 14002",1,1,Actibacter sediminis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
24522,R46,"DSM 28448, CECT 7668, KCTC 23349",1,1,Actibacterium mucosum,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,gelatinase
132960,NS6,"DSM 105040, JCM 30828, KCTC 18418",1,1,Actibacterium naphthalenivorans,+,cytochrome oxidase
141146,JN33,"CGMCC 1.16012, KCTC 52653, DSM 109121",1,1,Actibacterium pelagium,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
141055,LS-811,"BCRC 80823, JCM 30681",1,1,Actibacterium ureilyticum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
17014,,"DSM 45503, BCC 28622, NBRC 104354, NRRL B-24610, GMKU 931, JCM 17235, TBRC 563",1,1,Actinoallomurus acaciae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,urease
23336,2614A723,"DSM 45727, CCTCC AA 2012001, JCM 31201",1,1,Actinoallomurus acanthiterrae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
17007,TT00-28,"DSM 45447, KCTC 19537, NBRC 103682",1,1,Actinoallomurus amamiensis,+,acid phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
132110,A3015,"DSM 45445, KCTC 19535, NBCR 103678, NBRC 103678",1,1,Actinoallomurus caesius,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
17008,TT04-09,"DSM 45450, KCTC 19542, NBRC 103688",1,1,Actinoallomurus coprocola,+,acid phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
,,,,,,+,urease
17010,TT02-47,"DSM 45448, KCTC 19539, NBRC 103685",1,1,Actinoallomurus iriomotensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
17011,TT02-15,"DSM 45452, KCTC 19538, NBRC 103683",1,1,Actinoallomurus luridus,+,alkaline phosphatase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
17015,,"DSM 45651, BCC 31373, NBRC 105246, GMKU 370, JCM 17933, TBRC 390",1,1,Actinoallomurus oryzae,+,acid phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase lipase (C 8)
17012,TTN02-30,"DSM 45449, KCTC 19541, NBRC 103687",1,1,Actinoallomurus purpureus,+,catalase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
17016,K08-0182,"DSM 45523, JCM 17294, NBRC 107678",1,1,Actinoallomurus radicium,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,gelatinase
17006,"FYU A 116, A-116","DSM 43459, ATCC 27298, BCRC 13386, CBS 261.72, CIP 105479, IFO 14099, IMET 9752, JCM 3146, KCC A-0146, KCTC 9252, NBRC 14099, NCIB 11118, NRRL B-16128, IMSNU 20015, MTCC 2556, NCIMB 11118, CCRC 13386, BRCC 13386",1,1,Actinoallomurus spadix,+,acid phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
17013,TTN02-22,"DSM 45451, KCTC 19540, NBRC 103686",1,1,Actinoallomurus yoronensis,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
,,,,,,+,pyrazinamidase
,,,,,,+,urease
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,1,Actinoalloteichus caeruleus,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
130583,AH97,"DSM 45943, CECT 8639",1,1,Actinoalloteichus hoggarensis,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
13194,,"DSM 45092, CGMCC 4.2500, CIP 109428, JCM 13436, HPA 177, BCRC 16835, NCIMB 14383, NRRL B-24537",1,1,Actinoalloteichus hymeniacidonis,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
13195,,"DSM 45655, CGMCC 4.5714, NBRC 106685, NEAU 119, JCM 18314",1,1,Actinoalloteichus nanshanensis,+,alkaline phosphatase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
13193,RMV-1378,"DSM 44848, JCM 12472, MTCC 6194, BCRC 16823, CBS 11706, CIP 109023, NBRC 102582, NCIMB 14384",1,1,Actinoalloteichus spitiensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
11691,F66,"DSM 26423, CCM 7846, CCUG 60324",1,1,Actinobacillus anseriformium,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
11688,P. 907,"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,1,Actinobacillus arthritidis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,1,Actinobacillus capsulatus,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,oxidase
,,,,,,+,urease
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,1,Actinobacillus delphinicola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,lipase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,ornithine decarboxylase
,,,,,,+,proline-arylamidase
11689,PM 30/53,"ATCC 19392, MCCM 00142, DSM 19655, CCUG 2041, CIP 103284, JCM 2432, NCTC 8529, LMG 3736",1,1,Actinobacillus equuli subsp. equuli,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,lipase
,,,,,,+,urease
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,1,Actinobacillus equuli subsp. haemolyticus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,1,Actinobacillus hominis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,1,Actinobacillus indolicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-lactamase
,,,,,,+,catalase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
11679,,"CIP 107665, DSM 22256, ATCC 49236, CCUG 41384, CIP 53.130, NCTC 4189",1,1,Actinobacillus lignieresii,+,alkaline phosphatase
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,1,Actinobacillus minor,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-lactamase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
11672,4074,"DSM 13472, ATCC 27088, CCM 5869, Shope 4074, CIP 100916, CCUG 41656",1,1,Actinobacillus pleuropneumoniae,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,oxidase
,,,,,,+,urease
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,1,Actinobacillus porcinus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,1,Actinobacillus rossii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
11686,M2000/95/1,"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922",1,1,Actinobacillus scotiae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,ornithine decarboxylase
,,,,,,+,urease
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,1,Actinobacillus seminis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,1,Actinobacillus succinogenes,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
11682,1276/61,"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996",1,1,Actinobacillus suis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,cytochrome-c oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
